wallet_address,piece,days,one_day_volume,marketplace_sold,date,buyer_address
wellwisher.eth,naruto,1,2,Rarible,1/19/22,pirateship.eth
wellwisher.eth,piece of pie,2,3,Opensea,1/20/22,northwest.eth
-,-,3,0,-,1/21/22,-
-,-,4,0,-,1/22/22,-
wellwisher.eth,paranoid,5,0.2,LooksRare,1/23/22,penciluser.eth
wellwisher.eth,spying on me,6,0.2,Zora,1/24/22,dragondoll.eth
wellwisher.eth,pet shark,7,0.5,Not Sold,1/25/22,nftkiller.eth
-,-,8,0,-,1/26/22,-
-,-,9,0,-,1/27/22,-
wellwisher.eth,galaxy,10,1,Opensea,1/28/22,bunnyrabbit.eth
wellwisher.eth,rope deep inside,11,0.5,Opensea,1/29/22,shrekdonkey.eth
wellwisher.eth,press that button,12,0.5,Zora,1/30/22,pumpkinzombie.eth
-,-,13,0,-,1/31/22,-
wellwisher.eth,body piercing,14,0.5,Opensea,2/1/22,friendsdao.eth
-,-,15,0,-,2/2/22,-
-,-,16,0,-,2/3/22,-
wellwisher.eth,beach as a hobby,17,0.6,Zora,2/4/22,oceansea.eth
-,-,18,0,-,2/5/22,-
-,-,19,0,-,2/6/22,-
-,-,20,0,-,2/7/22,-
-,-,21,0,-,2/8/22,-
wellwisher.eth,picking their teeth,22,0.5,Opensea,2/9/22,keepsake.eth
wellwisher.eth,help him,23,0.3,Not Sold,2/10/22,thriftshop.eth
wellwisher.eth,orange ping pong balls,24,0.3,Opensea,2/11/22,circlereectangle.eth
wellwisher.eth,excuses,25,0.1,Not Sold,2/12/22,squaretriange.eth
wellwisher.eth,hairs on the back,26,1,Opensea,2/13/22,browneyes.eth
wellwisher.eth,fluffy pink unicorns,27,1,Not Sold,2/14/22,stingray.eth
wellwisher.eth,armadillo along,28,1,Rarible,2/15/22,snowborder.eth
wellwisher.eth,spy pigeon,29,1,Opensea,2/16/22,mousepad.eth
wellwisher.eth,rain fascinating,30,1,Not Sold,2/17/22,snowball.eth
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
